this is lag: 1
Country: CH
2 0 2
0 0 1
0 0 1
0 0 1
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
1 0 1
1 0 1
1 0 1
1 0 1
1 0 1
1 0 1
1 0 1
1 0 1
1 0 1
1 0 1
1 0 1
2 0 2
Country: JP
2 0 2
2 0 2
2 0 2
2 0 2
0 0 0
0 0 0
2 0 2
2 0 2
0 0 0
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
Country: UK
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
this is lag: 3
Country: CH
2 0 2
0 0 1
0 0 1
0 0 1
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
1 0 1
1 0 1
1 0 1
1 0 1
1 0 1
1 0 1
1 0 1
1 0 1
1 0 1
1 0 1
1 0 1
Country: JP
2 0 2
2 0 2
2 0 2
2 0 2
0 0 0
0 0 0
2 0 2
2 0 2
0 0 0
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
Country: UK
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
this is lag: 6
Country: CH
2 0 2
0 0 1
0 0 1
0 0 1
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
1 0 1
1 0 1
1 0 1
1 0 1
1 0 1
1 0 1
1 0 1
1 0 1
Country: JP
2 0 2
2 0 2
2 0 2
2 0 2
0 0 0
0 0 0
2 0 2
2 0 2
0 0 0
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
Country: UK
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
this is lag: 12
Country: CH
2 0 2
0 0 1
0 0 1
0 0 1
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
2 0 2
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
0 0 1
1 0 1
1 0 1
